Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R - Ratemaking,R - Reserving,R - Capital modeling,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Matlab/Octave - Ratemaking,Matlab/Octave - Reserving,Matlab/Octave - Capital modeling,Business intelligence dasboarding tool like PowerBI - Ratemaking,Business intelligence dasboarding tool like PowerBI - Reserving,Business intelligence dasboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,Matlab/Octave,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
12769814441,405148313,6/24/2021 9:57,6/24/2021 10:01,,,,,,At least once a day,At least once a day,Not at all,Not at all,Not at all,About once a month,Not at all,Not at all,At least once a day,Advanced,Advanced,Basic stuff,Intermediate,Not at all,Basic stuff,Not at all,Not at all,Advanced,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,,R,,,,Python,A data visualization tool like Tableau,,,,,Insufficient/inadequate staff,,,,Not enough time,,,,,Lack of IT support,Financial cost,Not enough time,,,"Linear regression, including GLMs",,,,"Bayesian analysis, and/or MCMC",,"Time series analysis, including claim trend analysis",,,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,26-50,Less than 5
12769813252,405148313,6/24/2021 9:56,6/24/2021 10:00,,,,,,Less than once a month,At least once a day,About once a week,About once a week,Not at all,About once a month,Not at all,Less than once a month,Not at all,Basic stuff,Advanced,Advanced,Advanced,Basic stuff,Not at all,Not at all,Intermediate,Intermediate,Unsure,Unsure,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Very much so,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Unsure,Somewhat,Somewhat,Unsure,Very much so,,R,,,SAS,,,,,SQL,,,,,,Not enough time,No perceived benefit,,,,,,,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,200+,Less than 5
12769811369,405148313,6/24/2021 9:56,6/24/2021 10:00,,,,,,Not at all,At least once a day,Less than once a month,Not at all,Not at all,Not at all,Not at all,About once a month,About once a week,Not at all,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,Basic stuff,Unsure,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,,Excel,,,,,,,SQL,,,Lack of management support,,,Not enough time,,,,Lack of management support,Lack of IT support,Financial cost,,,,,Credibility,Premium adjustment,,,,,,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,25-Nov,Between 5 and 10
12769808279,405148313,6/24/2021 9:22,6/24/2021 9:59,,,,,,Not at all,At least once a day,Not at all,About once a week,Not at all,Not at all,Not at all,About once a week,Not at all,Basic stuff,Advanced,Intermediate,Advanced,Not at all,Not at all,Not at all,Intermediate,Not at all,Somewhat,Not at all,Unsure,Very much so,Very much so,Unsure,Not at all,Not at all,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Very much so,Unsure,Unsure,Unsure,Unsure,,,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,Lack of management support,,,Not enough time,,,,,,Financial cost,Not enough time,No perceived benefit,,,,,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,200+,Less than 5
12769805694,405148313,6/24/2021 9:53,6/24/2021 9:58,,,,,,Not at all,At least once a day,Not at all,About once a week,Not at all,Less than once a month,Not at all,Not at all,Not at all,Basic stuff,Expert,Intermediate,Intermediate,Not at all,Advanced,Not at all,Not at all,Not at all,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Not at all,Not at all,Unsure,Very much so,Very much so,Unsure,Unsure,Not at all,Unsure,Very much so,Somewhat,Unsure,Unsure,Not at all,Unsure,Unsure,Unsure,Unsure,Not at all,Not at all,Unsure,QlikView,,Excel,,SAS,Python,,,,,,,,Lack of IT support,,Not enough time,,,,,,Financial cost,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,200+,Less than 5
12769798754,405148313,6/24/2021 9:51,6/24/2021 9:56,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,About once a month,Intermediate,Advanced,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Somewhat,,R,Excel,,,,,,,SQL,,,Lack of management support,Lack of IT support,,Not enough time,,,,,Lack of IT support,Financial cost,Not enough time,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,26-50,Less than 5
12769795223,405148313,6/24/2021 9:50,6/24/2021 9:54,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Less than once a month,Not at all,Not at all,Not at all,At least once a day,Basic stuff,Advanced,Intermediate,Not at all,Basic stuff,Not at all,Not at all,Not at all,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,Python,,,,,,,,,,Not enough time,No perceived benefit,,,,,Financial cost,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,,,,,,,,,None yet,Up to 30 years old,United States,,Insurance company,,51-200,Less than 5
12769794386,405148313,6/24/2021 9:49,6/24/2021 9:54,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Advanced,Intermediate,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,,,,,,,,,,,,,,,,,,,,,Excel,,,,,,,,,,,,,,No perceived benefit,,,,,,,No perceived benefit,,"Linear regression, including GLMs",,,Excess loss analysis,,Bornhuetter-Ferguson,,,,,,,,None yet,Up to 30 years old,United States,,Consulting Firm,,10-Jun,Less than 5
12769785558,405148313,6/24/2021 9:21,6/24/2021 9:51,,,,,,About once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,At least once a day,Basic stuff,Advanced,Intermediate,Intermediate,Not at all,Not at all,Not at all,Intermediate,Intermediate,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,,R,,,SAS,,,,A business intelligence dashboarding tool like Power BI,,,,,,Financial cost,Not enough time,,,,Lack of management support,,Financial cost,,,,,Credibility,Premium adjustment,,,,"Time series analysis, including claim trend analysis",,Chain-ladder,,Unsupervised learning methods like clustering or PCA,,,ACAS,Up to 30 years old,United States,,Other financial institution,,10-Jun,Between 5 and 10
12769784630,405148313,6/24/2021 9:44,6/24/2021 9:51,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,Intermediate,Advanced,Advanced,Not at all,Basic stuff,Not at all,Not at all,Not at all,Intermediate,Very much so,Somewhat,Unsure,Very much so,Very much so,Unsure,Not at all,Not at all,Unsure,Unsure,Unsure,Unsure,Very much so,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Not at all,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,R,Excel,,,Python,,,,SQL,,,Lack of management support,,,Not enough time,,,,Lack of management support,,,,No perceived benefit,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,200+,Less than 5
12769784426,405148313,6/24/2021 9:48,6/24/2021 9:51,,,,,,Not at all,At least once a day,At least once a day,Not at all,Not at all,Less than once a month,Not at all,Less than once a month,Not at all,Basic stuff,Expert,Advanced,Not at all,Not at all,Basic stuff,Not at all,Not at all,Basic stuff,Unsure,Very much so,Unsure,Unsure,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Not at all,Unsure,Unsure,Not at all,Unsure,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,,R,,,,Python,,,,,,Insufficient/inadequate staff,Lack of management support,,,Not enough time,,,Insufficient/inadequate staff,,,Financial cost,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,Up to 30 years old,Canada,,Consulting Firm,,25-Nov,Less than 5
12769776196,405148313,6/24/2021 9:42,6/24/2021 9:48,,,,,,About once a week,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,At least once a day,Basic stuff,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Very much so,Unsure,Unsure,Very much so,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Unsure,Very much so,,R,Excel,,,,,,,SQL,,,,,,Not enough time,No perceived benefit,,,,,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,,,,Chain-ladder,Tree-based methods like random forests,,,,None yet,31-40 years old,United States,,Insurance company,,5-Jan,Between 10 and 15
12769774910,405148313,6/24/2021 9:44,6/24/2021 9:47,,,,,,About once a week,At least once a day,Not at all,About once a week,About once a week,Not at all,Not at all,About once a week,At least once a day,Advanced,Advanced,Basic stuff,Advanced,Basic stuff,Not at all,Basic stuff,Intermediate,Advanced,Very much so,,,Very much so,,,Somewhat,,,Very much so,,,Somewhat,,,Somewhat,,,Somewhat,,,Very much so,,,Very much so,,,,R,,,,Python,,,,,,,,,,,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,"Bayesian analysis, and/or MCMC",,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,ACAS,Prefer not to say,United States,,Insurance company,,25-Nov,Between 5 and 10
12769773417,405148313,6/24/2021 9:42,6/24/2021 9:47,,,,,,About once a month,At least once a day,Less than once a month,Not at all,Less than once a month,Not at all,Not at all,About once a month,About once a week,Intermediate,Advanced,Advanced,Basic stuff,Basic stuff,Basic stuff,Basic stuff,Intermediate,Advanced,Somewhat,Somewhat,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,,R,Excel,,,Python,,,,SQL,,,,Lack of IT support,,Not enough time,,,,Lack of management support,Lack of IT support,Financial cost,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,51-200,Less than 5
12769769350,405148313,6/24/2021 9:40,6/24/2021 9:45,,,,,,Not at all,At least once a day,Not at all,Less than once a month,At least once a day,Less than once a month,Not at all,Not at all,At least once a day,Not at all,Expert,Advanced,Basic stuff,Expert,Basic stuff,Intermediate,Not at all,Expert,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,R,,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,,,The company / management only allows certain tools to be used,,Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",,,,Chain-ladder,,,,,ACAS,41-50 years old,United States,,Non-governmental insurance service organization,,200+,Between 5 and 10
12769768905,405148313,6/24/2021 9:43,6/24/2021 9:45,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Expert,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,R,,,,,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Consulting Firm,,25-Nov,Less than 5
12769768188,405148313,6/24/2021 9:30,6/24/2021 9:45,,,,,,Not at all,At least once a day,Not at all,Less than once a month,Not at all,Not at all,Not at all,Less than once a month,Less than once a month,Not at all,Advanced,Basic stuff,Intermediate,Not at all,Not at all,Not at all,Not at all,Intermediate,Somewhat,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Very much so,Unsure,Somewhat,Somewhat,Unsure,Alteryx,R,Excel,,,,,,,,,,,,,Not enough time,,Availability and lack of effectiveness of trainings,,,,Financial cost,,,,,,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,Trend and on-level loss ratios,,ACAS,31-40 years old,United States,,Insurance company,,51-200,Between 5 and 10
12769765026,405148313,6/24/2021 9:38,6/24/2021 9:44,,,,,,About once a week,At least once a day,Not at all,Less than once a month,At least once a day,About once a week,Not at all,At least once a day,At least once a day,Advanced,Advanced,Intermediate,Intermediate,Advanced,Basic stuff,Not at all,Basic stuff,Advanced,Somewhat,Very much so,Very much so,Not at all,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Not at all,Unsure,Very much so,Very much so,Very much so,Somewhat,Somewhat,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,,,,,Python,,,,SQL,,,,,,,,,Insufficient/inadequate staff,Lack of management support,,,,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,ACAS,Up to 30 years old,United States,,Insurance company,,26-50,Less than 5
12769764471,405148313,6/24/2021 9:39,6/24/2021 9:43,,,,,,Not at all,At least once a day,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a week,At least once a day,Intermediate,Expert,Expert,Expert,Basic stuff,Basic stuff,Not at all,Basic stuff,Expert,Very much so,Unsure,Very much so,Very much so,Very much so,Very much so,Unsure,Somewhat,Unsure,Very much so,Somewhat,Very much so,Very much so,Unsure,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Very much so,Somewhat,Somewhat,Very much so,Unsure,Not at all,,R,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,Lack of management support,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,,,,,,Premium adjustment,,,,,,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,5-Jan,Less than 5
12769761739,405148313,6/24/2021 9:35,6/24/2021 9:42,,,,,,Less than once a month,At least once a day,Not at all,Less than once a month,About once a month,Not at all,Not at all,About once a month,Not at all,Intermediate,Expert,Not at all,Basic stuff,Basic stuff,Not at all,Basic stuff,Basic stuff,Not at all,Unsure,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,,,,,SAS,Python,,,,,,Insufficient/inadequate staff,Lack of management support,,,Not enough time,,,Insufficient/inadequate staff,Lack of management support,,Financial cost,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,31-40 years old,Canada,,Insurance company,,51-200,Between 5 and 10
12769756449,405148313,6/24/2021 9:28,6/24/2021 9:41,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Less than once a month,Not at all,Advanced,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Basic stuff,Unsure,Very much so,Unsure,Very much so,Very much so,Unsure,Not at all,Not at all,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Somewhat,Somewhat,Unsure,"specializations of Excel:  VBA coding, @Risk",R,,,,,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,stochastic simulations,,ACAS,31-40 years old,United States,,Consulting Firm,,26-50,Between 5 and 10
12769751485,405148313,6/24/2021 9:33,6/24/2021 9:39,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,R,Excel,Google Sheets,SAS,,,,,,,Insufficient/inadequate staff,Lack of management support,,,,,Not used much in regulation,Insufficient/inadequate staff,Lack of management support,,,,,Not used in reviewing in regulation,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,,,Chain-ladder,,,,,None yet,41-50 years old,United States,,Government or regulatory organization,,5-Jan,Between 15 and 20
12769751400,405148313,6/24/2021 9:36,6/24/2021 9:39,,,,,,About once a week,At least once a day,About once a month,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Expert,Intermediate,Not at all,Basic stuff,Not at all,Basic stuff,Basic stuff,Intermediate,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,,,,,,,Somewhat,Somewhat,Unsure,,,,,,,,,,Not at all,Not at all,Not at all,,R,Excel,,,Python,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,Financial cost,Not enough time,No perceived benefit,,,,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Consulting Firm,,10-Jun,Less than 5
12769750352,405148313,6/24/2021 9:36,6/24/2021 9:39,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,Basic stuff,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,R,Excel,,,,,,,SQL,,,,,,Not enough time,,,,,,,,,,,,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,5-Jan,Between 5 and 10
